Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Balanced_Accuracy,CV_Macro_F1,Test_Accuracy,Test_Accuracy_95CI_Lower,Test_Accuracy_95CI_Upper,Test_Balanced_Accuracy,Test_Macro_F1,Test_Macro_F1_95CI_Lower,Test_Macro_F1_95CI_Upper,Test_Weighted_F1,Test_Samples,Selected_Features
SVM (Linear),0.9009012539184953,0.02395173817889687,0.892365504852557,0.8962126495709644,0.8454545454545455,0.7818181818181819,0.9,0.901757359500446,0.8865340750586652,0.8353071405981748,0.9285253349778697,0.8525321148271968,110,50
Random Forest,0.8974791013584117,0.0301386070200998,0.8905124346771183,0.8961681178913251,0.8727272727272727,0.8090909090909091,0.9363636363636364,0.8914183764495985,0.8959323188734953,0.8391008377657064,0.9430715190732614,0.8731009848656908,110,50
KNN (k=5),0.8576280041797283,0.02346448440217934,0.8815846631205675,0.8606494736628025,0.7818181818181819,0.7088636363636364,0.8545454545454545,0.8516503122212311,0.81359126984127,0.7239603527511502,0.8824479657934233,0.7922041847041847,110,50
